elevation,lat,lon,yld
1627.2966,41.249948,-97.147809,203.4526
1626.9685,41.249947,-97.14778,225.6671
1626.9685,41.249947,-97.147751,246.4199
1626.9685,41.249947,-97.147722,228.504
1626.9685,41.249948,-97.147694,188.9836
1626.9685,41.249949,-97.14766,173.4358
1626.9685,41.249951,-97.147625,131.6112
1626.6404,41.249952,-97.147589,114.9065
1626.6404,41.249954,-97.147553,80.4292
1626.3123,41.249954,-97.147518,61.2568
1625.9843,41.249955,-97.147482,107.7063
1625.6562,41.249958,-97.147445,158.594
1625.6562,41.249959,-97.14741,143.4758
1625.3281,41.249961,-97.147373,124.7631
1625.3281,41.249963,-97.14733,103.7052
1625.0,41.249964,-97.147288,87.7777
1625.0,41.249967,-97.147246,60.2865
1625.0,41.249969,-97.147203,52.6084
1624.6719,41.249973,-97.147163,50.3817
1625.0,41.249979,-97.147121,93.9499
1625.0,41.249984,-97.14708,121.0258
1625.0,41.24999,-97.147039,178.5997
1625.0,41.249993,-97.146997,126.6861
1625.0,41.249995,-97.146955,151.1799
1625.0,41.249996,-97.146913,186.7359
1625.0,41.249998,-97.146872,181.7129
1625.3281,41.249999,-97.14683,172.5886
1625.0,41.250002,-97.146787,144.8365
1625.3281,41.250002,-97.146746,134.0772
1625.0,41.250003,-97.146703,140.0449
1625.0,41.250005,-97.146661,152.7772
1624.6719,41.250007,-97.146619,126.3415
1625.0,41.25001,-97.146576,100.0717
1624.6719,41.250013,-97.146533,72.8353
1624.0157,41.250014,-97.14649,51.1279
1624.3438,41.250016,-97.146449,179.6792
1624.3438,41.250017,-97.146408,289.3517
1624.6719,41.250018,-97.146365,313.2864
1624.6719,41.250018,-97.146323,359.4934
1624.6719,41.250019,-97.146281,124.3317
1624.6719,41.250019,-97.14624,133.1233
1624.6719,41.250019,-97.146197,140.8637
1624.6719,41.250019,-97.146155,128.9247
1624.6719,41.250019,-97.146114,141.2905
1624.6719,41.250018,-97.146073,160.9012
1624.6719,41.250019,-97.14603,110.0674
1624.6719,41.250019,-97.145988,97.8833
1624.6719,41.250018,-97.145945,104.169
1624.6719,41.250016,-97.145904,113.3562
1624.6719,41.250014,-97.14586,88.2957
1624.6719,41.250014,-97.145818,89.8613
1624.6719,41.250015,-97.145777,83.223
1624.6719,41.250015,-97.145734,83.4279
1624.6719,41.250016,-97.145692,86.8291
1624.6719,41.250016,-97.145649,100.6485
1624.6719,41.250018,-97.145607,76.0833
1624.3438,41.250021,-97.145565,84.5488
1624.3438,41.250023,-97.145523,97.8037
1624.3438,41.250025,-97.14548,90.0889
1624.3438,41.250026,-97.145439,69.3941
1624.3438,41.250026,-97.145402,76.5802
1624.3438,41.250026,-97.145368,105.1176
1624.3438,41.250024,-97.145333,112.3395
1624.3438,41.250022,-97.145297,98.8444
1624.3438,41.250019,-97.145261,123.4648
1624.3438,41.250018,-97.145225,121.1744
1624.3438,41.250016,-97.145189,113.135
1624.3438,41.250016,-97.145153,114.3127
1624.3438,41.250016,-97.145118,126.1274
1624.3438,41.250017,-97.145082,141.5973
1624.3438,41.250018,-97.145046,125.3744
1624.3438,41.250017,-97.14501,135.3113
1624.3438,41.250017,-97.144973,127.0784
1624.3438,41.250018,-97.144937,118.7524
1624.3438,41.250019,-97.144902,117.5351
1624.3438,41.25002,-97.144866,116.4438
1624.3438,41.250021,-97.144831,128.0237
1624.0157,41.250021,-97.144795,146.205
1624.3438,41.250022,-97.14476,121.6363
1624.0157,41.250023,-97.144724,131.8051
