east north data
402.95294 164.52841 306.09
501.70493 428.771 200.88
556.32618 445.27065 167.07
573.40431 447.04177 162.77
702.42284 272.2959 163.57
668.54416 261.6707 178.61
435.8477 286.54044 301.54
434.01245 317.90506 282.07
432.46225 288.37001 319.12
162.14585 286.29984 244.67
169.47663 334.53158 233.31
717.84675 181.56741 224.46
713.34332 214.88336 206.12
726.66302 207.27952 248.99
618.46885 127.43265 237.87
661.88082 128.81455 222.87
506.71667 212.86691 263.1
561.7874 138.89773 236.91
585.63949 212.59809 247.01
531.71056 131.62153 240.58
308.97183 181.97682 304.28
306.10469 148.69468 351.73
150.12196 162.12624 277.92
155.3399 154.86652 323.08
620.00181 112.64927 253.32
475.05766 83.6448399999998 315.33
366.87187 92.2122400000002 379.94
479.49527 461.96806 197.09
615.72353 400.63795 199.91
599.07288 456.12037 167
566.56758 445.22857 182.88
484.6613 423.22788 197.1
445.54377 400.9933 257.5
498.29528 426.92592 205.16
477.94465 356.79285 224.07
353.18336 446.50166 212.5
338.52463 381.74695 242.08
267.23204 373.39454 247.79
676.87847 254.18138 187.27
538.88998 308.77851 222.54
340.96468 271.01967 313.6
203.93695 309.41998 269.92
254.26247 240.19632 321.69
719.46243 177.84707 208.89
768.50871 199.12352 238.62
721.65469 209.20941 248.76
687.75359 187.56295 193.48
599.06043 210.66083 240.48
541.89327 185.11924 265.56
449.6865 196.16437 302.13
357.51524 188.1198 335.41
222.33953 154.59123 330.87
297.32299 176.26524 329.49
184.17268 211.03701 262.81
401.98944 70.3728200000003 365.88
365.36206 77.4256500000004 359.08
331.68065 110.26775 344.59
294.95009 113.43465 366.1
674.31593 185.89772 201.84
518.6908 378.94032 218.27
562.79775 362.2088 200.38
399.91232 354.61628 229.4
309.69511 375.85998 235.07
308.21592 359.22457 236.25
397.59888 443.1808 228.82
206.29791 359.3556 258.12
289.38003 370.04023 232.17
246.80304 374.89923 248.17
279.55302 345.88871 240.66
231.82964 450.35979 184.59
245.59459 445.05926 165.46
410.80902 242.10715 320.31
400.01532 339.85273 232.8
405.11185 338.04194 266.27
422.47533 262.48003 301.1
457.73378 306.9234 244.78
388.47179 299.16275 248.57
299.07823 285.24334 299
320.4695 329.84407 269.49
317.7274 279.96009 300.89
328.1532 256.09127 311.81
341.96468 271.01967 317.34
346.05942 313.5301 286.93
371.75809 278.71589 306.64
377.09969 247.38436 349.09
395.46678 267.83959 289.11
244.79297 297.28745 280.49
232.08612 343.23287 237.11
212.36295 311.44174 269.68
250.92841 238.28897 307.47
249.11474 339.84732 253.57
262.98869 321.6157 226.71
264.83559 312.41223 299.69
277.18097 281.21777 266.62
267.48289 255.20257 331.46
287.42489 273.991 270.67
291.21859 246.34864 321.15
296.594 340.60144 258.2
295.11083 325.80878 288.85
211.66139 263.38789 255.76
189.31521 281.3855 264.77
165.97002 267.90686 271.76
164.28177 267.86614 313.63
184.98705 323.79426 252.94
711.89977 124.40728 246.75
749.59433 175.47115 215.95
702.73299 179.95796 299.71
650.76351 178.79807 203.4
640.73071 180.7536 209.47
600.65702 199.57391 185.63
421.28296 177.57037 304.3
451.44393 174.02255 320.05
419.33262 223.70296 273.01
377.71707 179.08881 295.62
357.49565 189.96577 334.95
372.27262 223.34289 350.18
287.35834 170.56964 291.35
285.6835 170.54282 319.57
224.32153 139.84991 367.32
218.99256 154.52067 332.04
262.66451 146.1385 332.18
217.24028 158.17924 323.82
212.63015 217.21353 334.22
249.35852 142.19763 345.33
245.90862 147.67415 345.24
251.23978 131.14844 383.13
197.7439 205.80201 348.67
172.85298 192.283 282.54
187.83331 198.18379 291.07
568.34196 114.86877 245.42
541.68923 120.51877 291.63
493.34111 98.4340199999995 288.5
471.68756 103.94229 314.65
445.03235 105.70264 331.85
479.99208 118.72419 305.43
333.22941 119.52053 285.05
400.32814 70.36 359.51
343.6607 84.566 356.82
320.24316 93.49421 372.56
331.8482 97.3436600000001 413.7
235.32685 92.0340700000003 412.44
226.53333 114.02601 400.96
692.54456 170.87504 199.37
